eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
t060,TOUR Championship,132,136,Si Woo Kim,78,71.254,"5,221",51.763,74
t060,TOUR Championship,133,137,Ben Martin,38,71.259,"2,532",33.325,36
t060,TOUR Championship,134,138,David Hearn,55,71.266,"3,592",42.581,51
t060,TOUR Championship,T135,T139,Rafa Cabrera Bello,53,71.285,"3,749",29.098,53
t060,TOUR Championship,T135,T139,James Hahn,36,71.285,"2,538",28.272,36
t060,TOUR Championship,137,141,Aaron Baddeley,49,71.291,"3,309",41.664,47
t060,TOUR Championship,138,142,Keith Mitchell,64,71.298,"4,554",9.084,64
t060,TOUR Championship,T139,T143,Brandon Hagy,50,71.300,"3,242",37.785,46
t060,TOUR Championship,T139,T143,Rob Oppenheim,65,71.300,"4,317",32.295,61
t060,TOUR Championship,141,145,Scott Piercy,66,71.306,"4,673",33.226,66
t060,TOUR Championship,142,146,D.J. Trahan,49,71.307,"3,318",33.438,47
t060,TOUR Championship,143,147,Josh Teater,43,71.335,"2,882",42.723,41
t060,TOUR Championship,144,148,Kyoung-Hoon Lee,76,71.339,"5,087",49.383,72
t060,TOUR Championship,145,149,Martin Laird,39,71.344,"2,746",36.426,39
t060,TOUR Championship,146,150,Robby Shelton,75,71.358,"5,028",38.412,71
t060,TOUR Championship,147,151,Joseph Bramlett,57,71.367,"3,751",31.473,53
t060,TOUR Championship,148,152,Nate Lashley,52,71.384,"3,676",35.992,52
t060,TOUR Championship,149,153,Beau Hossler,71,71.387,"4,743",39.928,67
t060,TOUR Championship,150,154,Doug Ghim,44,71.402,"2,826",30.096,40
t060,TOUR Championship,151,155,Brian Gay,67,71.407,"4,461",37.671,63
t060,TOUR Championship,152,156,Patton Kizzire,55,71.444,"3,882",47.442,55
t060,TOUR Championship,153,157,Kramer Hickok,51,71.472,"3,464",38.152,49
t060,TOUR Championship,154,158,Vincent Whaley,40,71.478,"2,687",29.158,38
t060,TOUR Championship,155,160,Sung Kang,73,71.489,"5,198",20.664,73
